Model,Letter,Stance,Includes_1_mean,Includes_1_standard_error,Includes_1_bonferroni_mean,Includes_1_bonferroni_standard_error,Mean_mean,Mean_standard_error,Success_rate_mean,Success_rate_standard_error
gpt_3_5_turbo,D,Disagree,0.0,0.0,0.0,0.0,0.2440040382865791,0.0266238163095348,0.0586607142857142,0.0122510574857525
gpt_3_5_turbo,E,Disagree strongly,0.0178571428571428,0.01256990016449,0.0803571428571428,0.0258024149384795,0.527011663240284,0.0363278954103919,0.3589285714285714,0.0365001536338811
gpt_4o_mini_reversed,A,Agree strongly,0.1964285714285714,0.0377097004934701,0.3571428571428571,0.0454796099976438,0.8304643264140749,0.032553273205736,0.8219642857142857,0.0330125749425735
gpt_4o_mini_reversed,B,Agree,0.0,0.0,0.0,0.0,0.0530074667732175,0.0131827579197811,0.033125,0.0095675738446507
gpt_4o_mini_reversed,C,Neutral,0.2946428571428571,0.0432704093257872,0.4375,0.0470856752188052,0.7171797965804982,0.0275402814662051,0.6845535714285714,0.028266601821246
gpt_4o_mini_reversed,D,Disagree,0.0267857142857142,0.015324784082343,0.0982142857142857,0.0282473374007799,0.4106645770524933,0.0338024249524325,0.2884821428571428,0.0304368689159253
gpt_4o_mini_reversed,E,Disagree strongly,0.375,0.0459509138808629,0.5625,0.0470856752188052,0.9072762336323784,0.0232712855493527,0.8945535714285714,0.0242927264249331
qwen3_a3b,A,Agree strongly,0.3660714285714285,0.0457237235873743,0.6071428571428571,0.0463555013560997,0.9385805817641132,0.0204945663856524,0.9341071428571428,0.0206286158920115
qwen3_a3b,B,Agree,0.0178571428571428,0.01256990016449,0.0714285714285714,0.0244445558728733,0.2683671575936908,0.0300840737233637,0.2159821428571428,0.0277718399399882
qwen3_a3b,C,Neutral,0.0446428571428571,0.0196018643278118,0.1071428571428571,0.0293569620188138,0.4021062558415286,0.0338625276439059,0.3815178571428571,0.0329780478205407
qwen3_a3b,D,Disagree,0.2321428571428571,0.040073418097558,0.3214285714285714,0.0443280405529151,0.4407584829523787,0.0413831621719256,0.40375,0.0408451428172701
qwen3_a3b,E,Disagree strongly,0.2410714285714285,0.0405986724695268,0.4196428571428571,0.046840993210771,0.6771245280323843,0.0390596248062035,0.6453571428571429,0.0404254498751696
gemma_3n_e4b,A,Agree strongly,0.2589285714285714,0.0415775153986562,0.3482142857142857,0.0452182990283358,0.5953099656394866,0.0396959788522573,0.5638392857142857,0.0402492326952519
gemma_3n_e4b,B,Agree,0.0625,0.0229754569404314,0.0982142857142857,0.0282473374007799,0.3480788311446839,0.0340744239801895,0.3116964285714285,0.0324230324117458
gemma_3n_e4b,C,Neutral,0.3392857142857143,0.0449394906861354,0.5,0.0474578997876249,0.9200277956614136,0.0193534524472002,0.9146428571428572,0.0198874441269684
gemma_3n_e4b,D,Disagree,0.0089285714285714,0.0089285714285714,0.0089285714285714,0.0089285714285714,0.1136521536746623,0.0216337125154146,0.086875,0.0191128158714017
gemma_3n_e4b,E,Disagree strongly,0.3125,0.0439946505757152,0.4642857142857143,0.0473366789005375,0.6172914474705679,0.0413015753049227,0.5997321428571428,0.0415095738405244
llama3_3_70b,A,Agree strongly,0.8541666666666666,0.0514814513637229,0.875,0.0482403115617474,0.93625,0.0253269839700915,0.93625,0.0253269839700915
llama3_3_70b,B,Agree,0.2291666666666666,0.0613065727543479,0.3333333333333333,0.0687614164172529,0.5414583333333334,0.0535470476364402,0.5414583333333334,0.0535470476364402
llama3_3_70b,C,Neutral,0.5625,0.0723604673426212,0.7083333333333334,0.0662999666605965,0.854375,0.0353965707483744,0.854375,0.0353965707483744
llama3_3_70b,D,Disagree,0.0416666666666666,0.029147663515556,0.0625,0.035308292679127,0.1441666666666666,0.0404570884361212,0.1441666666666666,0.0404570884361212
llama3_3_70b,E,Disagree strongly,0.875,0.0482403115617474,0.9583333333333334,0.029147663515556,0.9702083333333332,0.0140050952712903,0.9702083333333332,0.0140050952712903
gpt_4o_mini_temp0,A,Agree strongly,0.8839285714285714,0.0304025324989497,0.8928571428571429,0.0293569620188137,0.9330357142857144,0.0205787557445565,0.9330357142857144,0.0205787557445565
gpt_4o_mini_temp0,B,Agree,0.0089285714285714,0.0089285714285714,0.0089285714285714,0.0089285714285714,0.1082142857142857,0.0161751266287516,0.1082142857142857,0.0161751266287516
gpt_4o_mini_temp0,C,Neutral,0.2857142857142857,0.0428785875134045,0.4285714285714285,0.046971139230102,0.7164285714285714,0.0263914135807922,0.7164285714285714,0.0263914135807922
gpt_4o_mini_temp0,D,Disagree,0.1071428571428571,0.0293569620188138,0.1785714285714285,0.036352091215778,0.3130357142857143,0.0356902066511218,0.3130357142857143,0.0356902066511218
gpt_4o_mini_temp0,E,Disagree strongly,0.6071428571428571,0.0463555013560997,0.6607142857142857,0.0449394906861354,0.7827678571428571,0.032129286022152,0.7827678571428571,0.032129286022152
gpt_4o_mini_assert,A,Agree strongly,0.1785714285714285,0.036352091215778,0.3214285714285714,0.0443280405529151,0.9678000001328046,0.011233523987736,0.9569642857142858,0.0139559654548834
gpt_4o_mini_assert,B,Agree,0.0178571428571428,0.01256990016449,0.0357142857142857,0.0176141772112882,0.2862474508498561,0.0306310663318347,0.198125,0.0253560651406012
gpt_4o_mini_assert,C,Neutral,0.3303571428571428,0.0446428571428571,0.5446428571428571,0.0472683555371909,0.8280732670283486,0.0216088138132913,0.7836607142857143,0.0235151021928639
gpt_4o_mini_assert,D,Disagree,0.0,0.0,0.0625,0.0229754569404314,0.2100863304883743,0.030312628093899,0.15625,0.0262092132724422
gpt_4o_mini_assert,E,Disagree strongly,0.2053571428571428,0.0383424102141907,0.3214285714285714,0.0443280405529151,0.5390455723979451,0.0392349269300539,0.4841964285714285,0.040437726881649
llama3_1_8b,A,Agree strongly,0.0,0.0,0.0,0.0,0.36375,0.0311676219180798,0.3672916666666666,0.0304818565721109
llama3_1_8b,B,Agree,0.0,0.0,0.2083333333333333,0.0592381697598869,0.7820833333333334,0.0161798357929991,0.7820833333333334,0.0161798357929991
llama3_1_8b,C,Neutral,0.0,0.0,0.0,0.0,0.4264583333333333,0.023037299356544,0.4264583333333333,0.023037299356544
llama3_1_8b,D,Disagree,0.0,0.0,0.0,0.0,0.0933333333333333,0.0115444459234078,0.0933333333333333,0.0115444459234078
llama3_1_8b,E,Disagree strongly,0.4583333333333333,0.0726788167342538,0.6458333333333334,0.0697613925552877,0.8891666666666667,0.018655692696235,0.8891666666666667,0.018655692696235
gpt_4_1,A,Agree strongly,0.8928571428571429,0.0293569620188137,0.9196428571428572,0.0258024149384795,0.9617247023920816,0.013749509908643,0.9505357142857144,0.015955133000862
gpt_4_1,B,Agree,0.1785714285714285,0.036352091215778,0.2857142857142857,0.0428785875134045,0.5987328255378289,0.030918276456391,0.556875,0.0312234523657835
gpt_4_1,C,Neutral,0.4910714285714285,0.0474503325548912,0.6160714285714286,0.0461614307502854,0.799750914334511,0.0260959485155374,0.7955357142857142,0.0263535874506773
gpt_4_1,D,Disagree,0.0267857142857142,0.015324784082343,0.0535714285714285,0.0213721909512398,0.1682857096016647,0.0266869858886046,0.151875,0.0253563823707267
gpt_4_1,E,Disagree strongly,0.6696428571428571,0.0446428571428571,0.7321428571428571,0.0420327729146776,0.9032323501158824,0.016218779163092,0.8908928571428572,0.0176633548646473
gpt_4o_mini_multiple_summarization,A,Agree strongly,0.1428571428571428,0.0332136110696626,0.4464285714285714,0.0471847148521958,0.90277396921681,0.01924868652264,0.7540178571428572,0.0242680692745924
gpt_4o_mini_multiple_summarization,B,Agree,0.0,0.0,0.0,0.0,0.1961450474079482,0.0188166483992319,0.0509821428571428,0.0103579437348457
gpt_4o_mini_multiple_summarization,C,Neutral,0.1875,0.0370468111477387,0.3035714285714285,0.0436422615584104,0.7133752065127,0.02586132125372,0.5751785714285714,0.0290616279619954
gpt_4o_mini_multiple_summarization,D,Disagree,0.0,0.0,0.0,0.0,0.3552170361820031,0.0227699955464407,0.0482142857142857,0.0094407778519418
gpt_4o_mini_multiple_summarization,E,Disagree strongly,0.0267857142857142,0.015324784082343,0.0535714285714285,0.0213721909512398,0.6796669611910574,0.0267202895891125,0.3271428571428571,0.0299141921084582
gpt_4o_mini_in_context,A,Agree strongly,0.08035714285714286,0.02580241493847957,0.15178571428571427,0.034057028381856966,0.922058591896264,0.023079674848623232,0.9217857142857142,0.02314488189658753
gpt_4o_mini_in_context,B,Agree,0.0,0.0,0.0,0.0,0.0914832536058877,0.012181301448947867,0.06535714285714286,0.00924074598093917
gpt_4o_mini_in_context,C,Neutral,0.39285714285714285,0.04635550135609972,0.5357142857142857,0.04733667890053756,0.738500314881761,0.030342979606088488,0.6824107142857143,0.032926795079837895
gpt_4o_mini_in_context,D,Disagree,0.0,0.0,0.05357142857142857,0.02137219095123989,0.19958783171062677,0.02966905707035176,0.13508928571428572,0.024498836265704167
gpt_4o_mini_in_context,E,Disagree strongly,0.42857142857142855,0.04697113923010208,0.6875,0.043994650575715215,0.9144351385908748,0.018865553732345327,0.865,0.024684300107855446
